,Answer,Type,,Size,Questions,Flags
"While recent scholarship has undermined claims that the works of twelfth-century Islamic philosopher Ibn Rushd were ______
other Muslim philosophers of his time, it is indisputable that his location in the Muslim-ruled area of what is now Spain
meant that his works were primarily available thousands of miles west of the era’s center of Islamic thought.
Which choice completes the text with the most logical and precise word or phrase?
A. controversial among
B. antagonistic toward
C. imitated by
D. inconsequential to",D,Words in Context,,,,4
"Whether the reign of a French monarch such as Hugh Capet or Henry I was historically consequential or relatively uneventful,
its trajectory was shaped by questions of legitimacy and therefore cannot be understood without a corollary understanding
of the factors that allowed the monarch to ______ his right to hold the throne.
Which choice completes the text with the most logical and precise word or phrase?
A. disengage
B. annotate
C. buttress
D. reciprocate",C,Words in Context,,,,4
"According to statistician Nassim Nicholas Taleb, the best way to predict the amount of time a nonperishable entity (such as
a building or a technology) will continue to exist is to examine how long it has survived so far. In this view, an item’s age is
the strongest ______ how much longer it will last.
Which choice completes the text with the most logical and precise word or phrase?
A. uncertainty about
B. indicator of
C. motivation for
D. criticism of",B,Words in Context,,,,4
"Economist Jingting Fan argues that the effects of international trade may display spatial variation at sub-national levels. For
instance, imported goods may reduce expenses for a country’s average consumer, but for consumers living far from ports,
high intranational transport costs could ______ the price advantages associated with imports.
Which choice completes the text with the most logical and precise word or phrase?
A. nullify
B. denigrate
C. underestimate
D. misconstrue",A,Words in Context,,,,4
"Whether Carmen Lomas Garza is creating small paintings and illustrations or large public artworks—such as Baile, a copper
cutout of traditional Mexican dance in the San Francisco International Airport—she is ______ direct experience, drawing from
memories of her childhood in Texas or details of her current surroundings in California.
Which choice completes the text with the most logical and precise word or phrase?
A. complimented by
B. uncertain about
C. unbothered by
D. inspired by",D,Words in Context,,,,4
"In the mid-nineteenth century, some abolitionist newspapers ______ westward migration in the United States; by printing a
letter that described the easy fortunes and high salaries miners could make in California during the Gold Rush, Frederick
Douglass’s newspaper North Star was one such publication that inspired readers to relocate.
Which choice completes the text with the most logical and precise word or phrase?
A. stimulated
B. assigned
C. opposed
D. disregarded",A,Words in Context,,,,4
"Like other tribal nations, the Muscogee (Creek) Nation is self-governing; its National Council generates laws regulating
aspects of community life such as land use and healthcare, while the principal chief and cabinet oﬃcials ______ those laws
by devising policies and administering services in accordance with them.
Which choice completes the text with the most logical and precise word or phrase?
A. implement
B. presume
C. improvise
D. mimic",A,Words in Context,,,,4
"The following text is adapted from Frances Hodgson Burnett’s 1905 novel A Little Princess. Sara is a young student at a
school in London.
Sara not only could tell stories, but she adored telling them. When she sat or stood in the midst of a circle and began to
invent wonderful things, her green eyes grew big and shining, her cheeks ﬂushed, and, without knowing that she was
doing it, she began to act and made what she told lovely or alarming by the raising or dropping of her voice.
As used in the text, what does the word “invent” most nearly mean?
A. Mislead
B. Disguise
C. Create
D. Discover",C,Words in Context,,,,4
"A journalist and well-respected art critic of nineteenth-century Britain, Lady Elizabeth Rigby Eastlake did not hesitate to
publish reviews that went against popular opinion. One of her most divisive works was an essay questioning the idea of
photography as an emerging medium for ﬁne art: in the essay, Eastlake ______ that the value of photographs was
informational rather than creative.
Which choice completes the text with the most logical and precise word or phrase?
A. exposed
B. asserted
C. discovered
D. doubted",B,Words in Context,,,,4
"Artiﬁcially delivering biomolecules to plant cells is an important component of protecting plants from pathogens, but it is
diﬃcult to transmit biomolecules through the layers of the plant cell wall. Markita del Carpio Landry and her colleagues have
shown that it may be possible to ______ this problem by transmitting molecules through carbon nanotubes, which can cross
cell walls.
Which choice completes the text with the most logical and precise word or phrase?
A. conceptualize
B. neglect
C. illustrate
D. overcome",D,Words in Context,,,,4
"Critics have asserted that ﬁne art and fashion rarely ______ in a world where artists create timeless works for exhibition and
designers periodically produce new styles for the public to buy. Luiseño/Shoshone-Bannock beadwork artist and designer
Jamie Okuma challenges this view: her work can be seen in the Metropolitan Museum of Art and purchased through her
online boutique.
Which choice completes the text with the most logical and precise word or phrase?
A. prevail
B. succumb
C. diverge
D. intersect",D,Words in Context,,,,4
"Manul cats are small, shy felines. They live mostly alone in out-of-the-way parts of Asia, such as on Mount Everest. These
cats have been diﬃcult to research because their habitats are so ______ large populations of humans.
Which choice completes the text with the most logical and precise word or phrase?
A. full of
B. drawn to
C. responsible for
D. distant from",D,Words in Context,,,,4
"Radar and sonar can detect objects or people through walls, but they are too costly for consumer use. Researchers Fadel
Adib and Dina Katabi have shown, however, that there may be a comparatively ______ alternative: small changes to the Wi-Fi
technology used in smartphones can give users a cheap way to count people or even identify their gestures through walls.
Which choice completes the text with the most logical and precise word or phrase?
A. infrequent
B. inexpensive
C. unmistakable
D. impractical",B,Words in Context,,,,4
"When marine biologist Brittany Williams played different ocean recordings to groups of oyster larvae, groups that heard
sounds of a healthy oyster reef were the most ______. They were twice as likely as other groups to show signs of making a
permanent home. This suggests that playing recordings of a healthy ocean reef may encourage oysters to create such a
reef.
Which choice completes the text with the most logical and precise word or phrase?
A. responsive
B. inactive
C. liked
D. distressed",A,Words in Context,,,,4
"The following text is adapted from Charles Chesnutt’s 1899 story “The Wife of His Youth.” Mr. Ryder is hosting a formal
gathering where he will propose marriage to the woman he has been courting.
[A] younger and less cautious man would long since have spoken. But he had made up his mind, and had only to
determine the time when he would ask her to be his wife. He decided to give a ball in her honor, and at some time
during the evening of the ball to offer her his heart and hand.
As used in the text, what does the word “determine” most nearly mean?
A. Choose
B. Inﬂuence
C. Demonstrate
D. Measure",A,Words in Context,,,,4
"Nigerian American author Teju Cole’s ______ his two passions—photography and the written word—culminates in his 2017
book, Blind Spot, which evocatively combines his original photographs from his travels with his poetic prose.
Which choice completes the text with the most logical and precise word or phrase?
A. indifference to
B. enthusiasm for
C. concern about
D. surprise at",B,Words in Context,,,,4
"The following text is from Claude McKay’s 1922 poem “Morning Joy.” The speaker is looking out a window and observing a
wold, or large area of land.
At night the wide and level stretch of wold, Which at high noon had basked in quiet gold,
Far as the eye could see was ghostly white; Dark was the night save for the snow’s weird light.
I drew the shades far down, crept into bed; Hearing the cold wind moaning overhead
Through the sad pines, my soul, catching its pain, Went sorrowing with it across the plain.
As used in the text, what does the word “drew” most nearly mean?
A. Pulled
B. Drained
C. Inspired
D. Sketched",A,Words in Context,,,,4
"The work of Kiowa painter T.C. Cannon derives its power in part from the tension among his ______ inﬂuences: classic
European portraiture, with its realistic treatment of faces; the American pop art movement, with its vivid colors; and ﬂatstyle,
the intertribal painting style that rejects the effect of depth typically achieved through shading and perspective.
Which choice completes the text with the most logical and precise word or phrase?
A. complementary
B. unknown
C. disparate
D. interchangeable",C,Words in Context,,,,4
"The following text is adapted from Lewis Carroll’s 1871 novel Through the Looking-Glass, and What Alice Found There.
Alice, a child, is talking to her cat.
“Do you hear the snow against the window-panes, Kitty? How nice and soft it sounds! Just as if someone was kissing
the window all over outside.”
As used in the text, what does the word “soft” most nearly mean?
A. Gentle
B. Sensitive
C. Shapeless
D. Bland",A,Words in Context,,,,4
"New and interesting research conducted by Suleiman A. Al-Sweedan and Moath Alhaj is inspired by their observation that
though there have been many studies of the effect of high altitude on blood chemistry, there is a ______ studies of the effect
on blood chemistry of living in locations below sea level, such as the California towns of Salton City and Seeley.
Which choice completes the text with the most logical and precise word or phrase?
A. quarrel about
B. paucity of
C. profusion of
D. verisimilitude in",B,Words in Context,,,,4
"In habitats with limited nutrients, certain fungus species grow on the roots of trees, engaging in mutually beneﬁcial
relationships known as ectomycorrhizae: in this symbiotic exchange, the tree provides the fungus with carbon, a nutrient
necessary for both species, and the fungus ______ by enhancing the tree’s ability to absorb nitrogen, another key nutrient,
from the soil.
Which choice completes the text with the most logical and precise word or phrase?
A. overreacts
B. reciprocates
C. retaliates
D. deviates",B,Words in Context,,,,4
"Taking photographs in the mid-1800s was complicated and expensive, but this changed with the 1854 invention of the carte
de visite, a small photo that cost little to make. Carte de visite photos helped to ______ photography: they made it easy and
enjoyable for everyday people to have their pictures taken, and people at the time loved exchanging these small photos with
friends and family.
Which choice completes the text with the most logical and precise word or phrase?
A. weaken
B. praise
C. popularize
D. isolate",C,Words in Context,,,,4
"Although critics believed that customers would never agree to pay to pick their own produce on farms, such concerns didn’t
______ Booker T. Whatley’s efforts to promote the practice. Thanks in part to Whatley’s determined advocacy, farms that
allow visitors to pick their own apples, pumpkins, and other produce can be found throughout the United States.
Which choice completes the text with the most logical and precise word or phrase?
A. enhance
B. hinder
C. misrepresent
D. aggravate",B,Words in Context,,,,4
"Researcher Lucy Salazar is using radiocarbon dating to study Machu Picchu, an ancient Incan fortress in the Andes
Mountains. She and her colleagues have found that the site’s age differs from the ______ estimate: it is approximately 20
years older than scholars thought when ﬁrst encountering Machu Picchu in 1911.
Which choice completes the text with the most logical and precise word or phrase?
A. genuine
B. intentional
C. independent
D. original",D,Words in Context,,,,4
"Eighteenth-century historian Edward Gibbon thought the only character defect of the Roman emperor Marcus Aurelius was
his mild temperament—though the emperor was widely considered virtuous, his overly permissive nature led him to ______
the vices of those who surrounded him.
Which choice completes the text with the most logical and precise word or phrase?
A. indulge
B. despise
C. moderate
D. criticize",A,Words in Context,,,,4
"Close analysis of the painting Girl with a Flute, long attributed to the seventeenth-century Dutch painter Johannes Vermeer,
has revealed subtle deviations from the artist’s signature techniques. These variations suggest that the work may be that of
a student under Vermeer’s tutelage—potentially ______ our understanding of Vermeer as a solitary artist.
Which choice completes the text with the most logical and precise word or phrase?
A. negating
B. preﬁguring
C. entrenching
D. substantiating",A,Words in Context,,,,4
"Stephen Hannock’s luminous landscape paintings are appealing to viewers but have elicited little commentary from
contemporary critics, a phenomenon that may be due to the very fact that the paintings seem so ______. Many critics focus
their attention on art that is cryptic or overtly challenging.
Which choice completes the text with the most logical and precise word or phrase?
A. innovative
B. subversive
C. profound
D. accessible",D,Words in Context,,,,4
"Novelist Leon Forrest admired William Faulkner’s writing style. Forrest’s novel Divine Days contains a long passage in tribute
to Faulkner that is a perfect ______ of Faulkner’s style: anyone familiar with Faulkner’s writing would see the resemblance.
Which choice completes the text with the most logical and precise word or phrase?
A. forgetting
B. rejection
C. imitation
D. opinion",C,Words in Context,,,,4
"Anthropologist Kristian J. Carlson and colleagues examined the fossilized clavicle and shoulder bones of a 3.6-million-year-
old early hominin known as “Little Foot.” They found that these bones were ______ the clavicle and shoulder bones of modern
apes that are frequent climbers, such as gorillas and chimpanzees, suggesting that Little Foot had adapted to life in the
trees.
Which choice completes the text with the most logical and precise word or phrase?
A. surpassed by
B. comparable to
C. independent of
D. obtained from",B,Words in Context,,,,4
"Although the playwrights hoped that their play would be ______ when performed live, critics generally agreed that the
production and performances had the opposite effect, wearying audiences instead of energizing them.
Which choice completes the text with the most logical and precise word or phrase?
A. multifaceted
B. realistic
C. rousing
D. subtle",C,Words in Context,,,,4
"The following text is from Darcie Little Badger’s 2021 novel A Snake Falls to Earth. Nina is looking at old family photographs.
Nina couldn’t stop looking at the sepia-toned photograph in an oak frame. Propped on the window ledge, it featured a
portrait of Great-Great-Grandmother Rosita as a young woman.
©2021 by Darcie Little Badger
As used in the text, what does the word “featured” most nearly mean?
A. Displayed
B. Questioned
C. Approved
D. Ignored",A,Words in Context,,,,4
"Bicycle sharing systems allow users to rent a bicycle at one location within a city and return it to any other designated
location in that city, which can cause serious problems of bicycle supply and user demand within the city’s system. Tohru
Ikeguchi uses open-source data and statistical modeling to identify when a high number of users making one-way trips is
likely to leave some locations within the system ______ bicycles and other areas with insuﬃcient supply.
Which choice completes the text with the most logical and precise word or phrase?
A. susceptible to
B. contingent on
C. saturated with
D. depleted of",C,Words in Context,,,,4
"Osage Nation citizen Randy Tinker-Smith produced and directed the ballet Wahzhazhe, which vividly chronicles Osage
history and culture. Telling Osage stories through ballet is ______ choice because two of the foremost ballet dancers of the
twentieth century were Osage: sisters Maria and Marjorie Tallchief.
Which choice completes the text with the most logical and precise word or phrase?
A. a suitable
B. a determined
C. an arbitrary
D. an unpredictable",A,Words in Context,,,,4
"In the Indigenous intercropping system known as the Three Sisters, maize, squash, and beans form an ______ web of
relations: maize provides the structure on which the bean vines grow; the squash vines cover the soil, discouraging
competition from weeds; and the beans aid their two “sisters” by enriching the soil with essential nitrogen.
Which choice completes the text with the most logical and precise word or phrase?
A. indecipherable
B. ornamental
C. obscure
D. intricate",D,Words in Context,,,,4
"The printing of Virginia Woolf’s novels featured a creative ______ between Woolf and her sister Vanessa Bell: a talented
painter, Bell worked closely with Woolf to create original cover art for most of the novels.
Which choice completes the text with the most logical and precise word or phrase?
A. rebellion
B. partnership
C. discovery
D. disagreement",B,Words in Context,,,,4
"Disproving the common misconception of Native art as ______, the painters whose work appears in the collection at the
National Museum of the American Indian employ a range of styles. There are artists working in the traditional arts of their
speciﬁc tribal communities, artists working in European modernist or American abstract expressionist art traditions, and
artists blending various traditions into something wholly new.
Which choice completes the text with the most logical and precise word or phrase?
A. uncontroversial
B. individualistic
C. theoretical
D. homogeneous",D,Words in Context,,,,4
"The following text is adapted from Oscar Wilde’s 1895 play The Importance of Being Earnest.
CECILY: Have we got to part? ALGERNON: I am afraid so. It’s a very painful parting.
CECILY: It is always painful to part from people whom one has known for a very brief space of time. The absence of old
friends one can endure with equanimity. But even a momentary separation from anyone to whom one has just been
introduced is almost unbearable.
As used in the text, what does the word “endure” most nearly mean?
A. Regret
B. Persist
C. Tolerate
D. Encourage",C,Words in Context,,,,4
"Art scholars have noted that some colors seem to be more ______ viewers than others. For example, people tend to ﬁnd
paintings featuring blues and greens more appealing than paintings featuring yellows and oranges.
Which choice completes the text with the most logical and precise word or phrase?
A. confusing for
B. attractive to
C. corrected by
D. similar to",B,Words in Context,,,,4
"The spacecraft OSIRIS-REx brieﬂy made contact with the asteroid 101955 Bennu in 2020. NASA scientist Daniella
DellaGiustina reports that despite facing the unexpected obstacle of a surface mostly covered in boulders, OSIRIS-REx
successfully ______ a sample of the surface, gathering pieces of it to bring back to Earth.
Which choice completes the text with the most logical and precise word or phrase?
A. attached
B. collected
C. followed
D. replaced",B,Words in Context,,,,4
"The parasitic dodder plant increases its reproductive success by ﬂowering at the same time as the host plant it has latched
onto. In 2020, Jianqiang Wu and his colleagues determined that the tiny dodder achieves this ______ with its host by
absorbing and utilizing a protein the host produces when it is about to ﬂower.
Which choice completes the text with the most logical and precise word or phrase?
A. synchronization
B. hibernation
C. prediction
D. moderation",A,Words in Context,,,,4
"The following text is adapted from Elizabeth von Arnim’s 1922 novel The Enchanted April. Mrs. Wilkins and her friend Rose
are traveling in Italy.
“I’m going to have one of these gorgeous oranges,” said Mrs. Wilkins, staying where she was and reaching across to a
black bowl piled with them. “Rose, how can you resist them. Look—have this one. Do have this beauty—” And she held
out a big one.
As used in the text, what does the phrase “reaching across to” most nearly mean?
A. Joining with
B. Gaining on
C. Stretching toward
D. Arriving at",C,Words in Context,,,,4
"The recently observed gamma ray burst GRB 230307A lasted for 200 seconds, ______ for a burst generated by the merger of
neutron stars. Bursts caused by neutron mergers typically last fewer than 2 seconds.
Which choice completes the text with the most logical and precise word or phrase?
A. a coincidence
B. a reprieve
C. an incident
D. an oddity",D,Words in Context,,,,4
"Sumerian civilization (which lasted from around 3300 to 2000 BCE) ______ many concepts that persist into present-day
civilizations: for example, the ﬁrst description of the seven-day week appears in the Sumerian Epic of Gilgamesh.
Which choice completes the text with the most logical and precise word or phrase?
A. transformed
B. introduced
C. inherited
D. overlooked",B,Words in Context,,,,4
"Physicist Joseph Weber performed ______ work in gravitational wave research in the 1960s and 1970s, conducting key
experiments that scientists later used as the basis for their own investigations that led to the ﬁrst veriﬁed detection of a
gravitational wave in 2015.
Which choice completes the text with the most logical and precise word or phrase?
A. foundational
B. supplementary
C. repetitive
D. ineffective",A,Words in Context,,,,4
"As an architect in Los Angeles in the 1950s, Helen Liu Fong became known for avoiding ______ designs in her buildings.
Instead of using standard shapes and colors, she typically explored innovative forms and daring hues.
Which choice completes the text with the most logical and precise word or phrase?
A. creative
B. bold
C. traditional
D. understandable",C,Words in Context,,,,4
"It is by no means ______ to recognize the inﬂuence of Dutch painter Hieronymus Bosch on Ali Banisadr’s paintings; indeed,
Banisadr himself cites Bosch as an inspiration. However, some scholars have suggested that the ancient Mesopotamian
poem Epic of Gilgamesh may have had a far greater impact on Banisadr’s work.
Which choice completes the text with the most logical and precise word or phrase?
A. substantial
B. satisfying
C. unimportant
D. appropriate",C,Words in Context,,,,4
"On the basis of extensive calculations and models, astronomers in the 1990s predicted that the collision of two neutron
stars or a neutron star and a black hole could release a massive burst of gamma rays in an event called a kilonova. This
______ was conﬁrmed with observations in 2017.
Which choice completes the text with the most logical and precise word or phrase?
A. theory
B. evidence
C. constant
D. experiment",A,Words in Context,,,,4
"Though not closely related, the hedgehog tenrecs of Madagascar share basic ______ true hedgehogs, including protective
spines, pointed snouts, and small body size—traits the two groups of mammals independently developed in response to
equivalent roles in their respective habitats.
Which choice completes the text with the most logical and precise word or phrase?
A. examples of
B. concerns about
C. indications of
D. similarities with",D,Words in Context,,,,4
"As discussed by scholar Anna Mladentseva, many artworks produced in the mid-1990s to the early 2000s exclusively for
exhibition on the internet, such as Sinae Kim’s Genesis (2001), have become inaccessible because viewing them requires the
use of ______ software (most notably Adobe Flash, discontinued in 2021).
Which choice completes the text with the most logical and precise word or phrase?
A. defunct
B. arcane
C. ubiquitous
D. extraneous",A,Words in Context,,,,4
"In 1891, design artist William Morris cofounded the Kelmscott Press, which printed editions of books using preindustrial
methods. Historians argue that Morris’s repudiation of industrialization is ______ the Kelmscott editions’ use of handmade
materials and intricate ornamentation reminiscent of medieval manuscripts: these meticulously handcrafted elements
exemplify the artistry involved.
Which choice completes the text with the most logical and precise word or phrase?
A. insensible to
B. manifest in
C. scrutinized by
D. complicated by",B,Words in Context,,,,4
"The following text is adapted from Ida B. Wells’s 1970 autobiography A Crusade for Justice. Mr. Watts is a reference to
George Frederic Watts, an English painter.
[Manchester’s] art galleries are so arranged that the name of every picture is plainly seen and one has no need of a
catalogue to pick out the name and the artist. This is a convenience to the general public, which other art galleries,
which shall be nameless, might copy to advantage. To her treasure of art Manchester has added Mr. Watts’ latest
picture, the Good Samaritan.
©1970 by the University of Chicago Press
As used in the text, what does the word “arranged” most nearly mean?
A. Organized
B. Ranked
C. Scheduled
D. Discussed",A,Words in Context,,,,4
"Scholarly discussions of gender in Shakespeare’s comedies often celebrate the rebellion of the playwright’s characters
against the rigid expectations ______ by Elizabethan society. Most of the comedies end in marriage, with characters returning
to their socially dictated gender roles after previously defying them, but there are some notable exceptions.
Which choice completes the text with the most logical and precise word or phrase?
A. interjected
B. committed
C. illustrated
D. prescribed",D,Words in Context,,,,4
"Sueño de Familia is an exhibition of drawings, paintings, and ceramics that explores the artistic heritage of US-based artist
Yolanda González. The exhibition ______ ﬁve generations, featuring works by González’s great-grandfather, grandmother,
mother, and niece as well as González herself.
Which choice completes the text with the most logical and precise word or phrase?
A. borrows
B. spans
C. judges
D. neglects",B,Words in Context,,,,4
"In 2008 a complete set of ancient pessoi (glass game pieces) was uncovered from beneath a paving stone in modern-day
Israel. Due to their small size, pessoi were easily misplaced, making a whole set a rare ﬁnd. This has led some experts to
suggest that the set may have been buried intentionally; however, without clear evidence, archaeologists are left to ______
what happened.
Which choice completes the text with the most logical and precise word or phrase?
A. speculate about
B. dismiss
C. expand on
D. catalog",A,Words in Context,,,,4
"The general store was essential to daily life in the rural United States during the 1800s because it provided the supplies that
the people living in nearby communities needed. Also, the store was a ______ of information. People socializing at the
general store would share news and help spread it throughout their communities.
Which choice completes the text with the most logical and precise word or phrase?
A. source
B. rival
C. condition
D. waste",A,Words in Context,,,,4
"US traﬃc signals didn’t always contain the familiar three lights (red, yellow, and green). Traﬃc lights only ______ red and
green lights until the three-light traﬃc signal was developed in the 1920s.
Which choice completes the text with the most logical and precise word or phrase?
A. avoided
B. featured
C. appreciated
D. disregarded",B,Words in Context,,,,4
"Given that the conditions in binary star systems should make planetary formation nearly impossible, it’s not surprising that
the existence of planets in such systems has lacked ______ explanation. Roman Raﬁkov and Kedron Silsbee shed light on the
subject when they used modeling to determine a complex set of factors that could support planets’ development.
Which choice completes the text with the most logical and precise word or phrase?
A. a discernible
B. a straightforward
C. an inconclusive
D. an unbiased",B,Words in Context,,,,4
"The percentage of US forest land that a 2023 federal report identiﬁed as being either mature or old growth exceeds other
recent estimates. Given how little ______ there is among scientists regarding the scope of these categories, this discrepancy
shouldn’t be surprising: forest researchers regularly dispute one another’s classiﬁcations.
Which choice completes the text with the most logical and precise word or phrase?
A. deliberation
B. vigilance
C. interest
D. consensus",D,Words in Context,,,,4
"For her 2021 art installation Anthem, Wu Tsang joined forces with singer and composer Beverly Glenn-Copeland to produce a
piece that critics found truly ______: they praised Tsang for creatively transforming a museum rotunda into a dynamic exhibit
by projecting ﬁlmed images of Glenn-Copeland onto a massive 84-foot curtain and ﬁlling the space with the sounds of his
and other voices singing.
Which choice completes the text with the most logical and precise word or phrase?
A. restrained
B. inventive
C. inexplicable
D. mystifying",B,Words in Context,,,,4
"While most animals are incapable of passing somatic mutations—genetic alterations that arise in an organism’s
nonreproductive cells—on to their offspring, elkhorn coral (Acropora palmata) presents an intriguing ______: in a 2022 study,
researchers found that elkhorn coral produced offspring that inherited somatic mutations from a parent.
Which choice completes the text with the most logical and precise word or phrase?
A. hypothesis
B. aﬃnity
C. anomaly
D. corroboration",C,Words in Context,,,,4
"Scientists previously thought that all electric eels belong to a single species, but a team of researchers led by zoologist C.
David de Santana proved this idea wrong by ______ that there are in fact three distinct species of electric eels.
Which choice completes the text with the most logical and precise word or phrase?
A. pretending
B. complaining
C. requiring
D. demonstrating",D,Words in Context,,,,4
"Studying how workload affects productivity, Maryam Kouchaki and colleagues found that people who chose to do relatively
easy tasks ﬁrst were less ______ compared to those who did hard tasks ﬁrst. Finishing easy tasks gave participants a sense
of accomplishment, but those who tackled hard tasks ﬁrst actually became more skilled and productive workers over time.
Which choice completes the text with the most logical and precise word or phrase?
A. secretive
B. eﬃcient
C. outgoing
D. unsympathetic",B,Words in Context,,,,4
"Some researchers believe that the genes that enable groundhogs and certain other mammals to hibernate through the
winter by slowing their breathing and heart rates and lowering their body temperature may be ______ in humans: present yet
having essentially no effect on our bodily processes.
Which choice completes the text with the most logical and precise word or phrase?
A. decisive
B. lacking
C. variable
D. dormant",D,Words in Context,,,,4
"Arturo A. Schomburg was dedicated to preserving books, art, and other materials from peoples of African descent around
the world. To get these items, Schomburg ______ friends and colleagues, whom he asked to bring back rare and valuable
objects from their international travels. Now, Schomburg’s collection is a valuable resource for scholars of Black history and
culture.
Which choice completes the text with the most logical and precise word or phrase?
A. admired
B. disagreed with
C. warned
D. depended on",D,Words in Context,,,,4
"The early British postal system required the cost of mail delivery to be paid upon receipt, a system which encouraged
inventive strategies by the intended recipient to avoid payment. To improve this system, ______ were proposed in 1837,
including the use of a postage stamp, a small receipt pasted to the mail indicating that delivery costs had been paid by the
sender.
Which choice completes the text with the most logical and precise word or phrase?
A. investigations
B. expansions
C. reforms
D. possessions",C,Words in Context,,,,4
"Researcher Haesung Jung led a 2020 study showing that individual acts of kindness can ______ prosocial behavior across a
larger group. Jung and her team found that bystanders who witness a helpful act become more likely to offer help to
someone else, and in doing so, can inspire still others to act.
Which choice completes the text with the most logical and precise word or phrase?
A. require
B. remember
C. foster
D. discourage",C,Words in Context,,,,4
"Handedness, a preferential use of either the right or left hand, typically is easy to observe in humans. Because this trait is
present but less ______ in many other animals, animal-behavior researchers often employ tasks specially designed to reveal
individual animals’ preferences for a certain hand or paw.
Which choice completes the text with the most logical and precise word or phrase?
A. recognizable
B. intriguing
C. signiﬁcant
D. useful",A,Words in Context,,,,4
"For painter Jacob Lawrence, being ______ was an important part of the artistic process. Because he paid close attention to
all the details of his Harlem neighborhood, Lawrence’s artwork captured nuances in the beauty and vitality of the Black
experience during the Harlem Renaissance and the Great Migration.
Which choice completes the text with the most logical and precise word or phrase?
A. skeptical
B. observant
C. critical
D. conﬁdent",B,Words in Context,,,,4
"Researchers have struggled to pinpoint speciﬁc causes for hiccups, which happen when a person’s diaphragm contracts
______. However, neuroscientist Kimberley Whitehead has found that these uncontrollable contractions may play an
important role in helping infants regulate their breathing.
Which choice completes the text with the most logical and precise word or phrase?
A. involuntarily
B. beneﬁcially
C. strenuously
D. smoothly",A,Words in Context,,,,4
"The Menominee and Anishinaabe peoples have been growing wild rice—known as manoomin in the Ojibwe language—in the
Great Lakes region of North America for centuries, but climatic changes are causing lakes to get deeper, thereby threatening
wild rice. These plants are extremely ______ to water depth during the “ﬂoating leaf” stage of development, and if the water is
too deep, the buoyancy of the young wild-rice plants can literally uproot them from the lake bottom, destroying them.
Which choice completes the text with the most logical and precise word or phrase?
A. immune
B. sensitive
C. limited
D. receptive",B,Words in Context,,,,4
"The following text is adapted from Mohsin Hamid’s 2017 novel Exit West. Saeed lives with his mother and father.
On cloudless nights after a daytime rain, Saeed’s father would sometimes bring out the telescope, and the family would sip
green tea on their balcony, enjoying a breeze, and take turns to look up at objects whose light, often, had been emitted before
any of these three viewers had been born—light from other centuries, only now reaching Earth.
©2017 by Mohsin Hamid
As used in the text, what does the word “reaching” most nearly mean?
A. Arriving at
B. Consulting with
C. Running to
D. Clinging to",A,Words in Context,,,,4
"A unique dialect, or regional variety, of Spanish is spoken in Puerto Rico. It contains many words borrowed from the
language of the Taínos, the Indigenous people of Puerto Rico. African languages also made important contributions to the
Puerto Rican dialect. For example, the way certain vowel sounds are pronounced in it can be ______ to how they are
pronounced in Yoruba, a West African language.
Which choice completes the text with the most logical and precise word or phrase?
A. traced
B. surrendered
C. announced
D. offered",A,Words in Context,,,,4
"When Mexican-American archaeologist Zelia Maria Magdalena Nuttall published her 1886 research paper on sculptures
found at the ancient Indigenous city of Teotihuacan in present-day Mexico, other researchers readily ______ her work as
groundbreaking; this recognition stemmed from her convincing demonstration that the sculptures were much older than had
previously been thought.
Which choice completes the text with the most logical and precise word or phrase?
A. acknowledged
B. ensured
C. denied
D. underestimated",A,Words in Context,,,,4
"Urban planning expert Francisco Lara-Valencia and colleagues have argued that managing environmental matters along the
US-Mexico border ______ coordination between the two countries’ governments. Since ecosystems extend across the border,
actions taken on one side can have environmental effects on the other side, making international cooperation essential.
Which choice completes the text with the most logical and precise word or phrase?
A. requires
B. praises
C. reports
D. advises",A,Words in Context,,,,4
"Some people have speculated that two helmets with attached horns discovered in Denmark in 1942 belonged to Vikings, but
scholars have long been skeptical. Archaeologist Helle Vandkilde and colleagues recently provided radiocarbon dates for the
helmets, and their ﬁndings ______ scholars’ skepticism: the helmets date to the Nordic Bronze Age, centuries before the
Vikings existed.
Which choice completes the text with the most logical and precise word or phrase?
A. anticipate
B. inspect
C. reveal
D. justify",D,Words in Context,,,,4
"The following text is adapted from Zora Neale Hurston’s 1921 short story “John Redding Goes to Sea.” John wants to travel
far beyond the village where he lives near his mother, Matty.
[John] had on several occasions attempted to reconcile his mother to the notion, but found it a diﬃcult task. Matty
always took refuge in self-pity and tears. Her son’s desires were incomprehensible to her, that was all.
As used in the text, what does the phrase “reconcile his mother to” most nearly mean?
A. Get his mother to accept
B. Get his mother to apologize for
C. Get his mother to match
D. Get his mother to reunite with",A,Words in Context,,,,4
"The following text is adapted from Sadakichi Hartmann’s 1894 short story “Magnolia Blossoms.” The narrator is standing on
the deck of a boat.
What a night it was! My soul had left its body to lose itself in the wild unrestrained beauty around me—from where it
came—and only left a trembling suggestion of its existence within me. The other passengers moved around me like
shadows, and again and again my eyes drank in all the glory and wealth of that night.
As used in the text, what does the word “suggestion” most nearly mean?
A. Trace
B. Opinion
C. Dispute
D. Command",A,Words in Context,,,,4
